,Company,TypeName,Inches,Ram,Memory,OpSys,Price_euros
0,Acer,3,1,1,3,3,709.0
1,Acer,1,1,3,3,1,530.0
2,Acer,1,1,1,4,1,659.0
3,Acer,1,1,6,3,1,549.0
4,Acer,1,1,3,6,1,426.0
5,Acer,1,2,1,3,1,389.0
6,Acer,1,1,1,3,3,846.0
7,Acer,1,1,5,3,1,693.99
8,Acer,1,1,1,4,3,879.0
9,Acer,4,5,1,4,1,789.01
10,Acer,1,1,3,1,3,441.8
11,Acer,1,1,3,3,1,544.0
12,Acer,5,7,3,6,1,435.0
13,Acer,1,1,3,1,1,469.0
14,Acer,1,1,1,3,1,579.0
15,Acer,1,1,3,3,1,613.0
16,Acer,1,1,3,1,1,639.0
17,Acer,3,1,1,3,3,798.0
18,Acer,4,7,3,10,1,349.0
19,Acer,1,2,3,10,1,329.0
20,Acer,1,2,3,31,1,349.0
21,Acer,4,7,3,10,5,379.0
22,Acer,1,1,3,1,1,450.0
23,Acer,2,2,1,4,1,919.0
24,Acer,1,7,3,31,1,485.0
25,Acer,1,1,3,6,3,412.0
26,Acer,1,1,1,4,1,469.0
27,Acer,1,1,4,16,5,199.0
28,Acer,2,2,1,4,1,884.0
29,Acer,1,1,3,4,1,572.0
30,Acer,1,4,3,3,1,655.0
31,Acer,1,1,3,3,1,447.0
32,Acer,1,4,3,4,1,805.0
33,Acer,1,1,3,3,1,348.0
34,Acer,1,1,3,3,1,363.51
35,Acer,1,4,1,4,1,854.0
36,Acer,1,1,3,6,1,449.0
37,Acer,2,5,1,4,1,989.0
38,Acer,1,1,1,3,1,742.0
39,Acer,1,1,1,3,3,779.0
40,Acer,4,5,1,4,1,847.0
41,Acer,1,1,1,4,1,832.0
42,Acer,4,5,1,4,1,689.0
43,Acer,1,1,3,3,3,390.0
44,Acer,1,1,1,3,1,689.0
45,Acer,3,1,1,4,1,846.0
46,Acer,1,4,3,4,1,702.0
47,Acer,1,1,1,3,1,745.0
48,Acer,1,1,1,4,1,951.0
49,Acer,1,1,3,3,1,395.0
50,Acer,1,1,5,3,1,659.0
51,Acer,1,1,1,4,3,979.0
52,Acer,1,1,3,4,1,451.0
53,Acer,1,1,3,3,1,384.0
54,Acer,1,2,3,10,5,375.0
55,Acer,3,1,2,4,1,1299.0
56,Acer,1,1,6,3,1,409.0
57,Acer,1,1,1,3,1,449.0
58,Acer,1,1,3,1,1,387.0
59,Acer,1,1,1,7,1,799.0
60,Acer,1,1,3,16,5,209.0
61,Acer,1,1,3,3,1,616.0
62,Acer,1,1,3,1,1,333.0
63,Acer,1,1,3,4,1,691.0
64,Acer,3,4,2,7,1,2599.0
65,Acer,1,1,3,3,3,272.0
66,Acer,1,4,1,3,1,629.0
67,Acer,5,7,4,14,5,174.0
68,Acer,2,2,1,4,1,770.0
69,Acer,1,4,3,3,1,598.0
70,Acer,4,2,1,4,1,1149.0
71,Acer,1,1,3,1,1,400.0
72,Acer,1,1,3,1,3,361.8
73,Acer,1,1,3,1,3,289.0
74,Acer,1,1,3,1,3,289.0
75,Acer,1,1,3,1,3,289.0
76,Acer,1,1,3,1,1,380.0
77,Acer,1,1,5,5,1,1009.0
78,Acer,3,1,1,5,1,1260.0
79,Acer,1,2,3,10,5,349.0
80,Acer,1,1,1,4,1,841.0
81,Acer,5,7,3,10,1,269.0
82,Acer,4,5,1,4,1,999.0
83,Acer,3,4,2,5,1,1935.0
84,Acer,1,1,3,1,1,559.0
85,Acer,1,1,3,1,1,410.8
86,Acer,1,2,4,10,5,330.0
87,Acer,1,1,3,4,1,599.0
88,Acer,1,1,3,4,1,682.0
89,Acer,1,5,3,6,1,655.0
90,Acer,1,1,3,3,3,298.0
91,Acer,4,7,3,10,5,389.0
92,Acer,1,2,3,6,1,636.0
93,Acer,1,1,6,3,1,479.0
94,Acer,5,7,3,10,5,355.0
95,Acer,1,1,3,3,3,367.0
96,Acer,1,2,1,6,1,619.0
97,Acer,1,2,1,4,1,902.0
98,Acer,5,7,3,10,5,297.0
99,Acer,1,1,3,15,5,359.0
100,Acer,1,1,3,3,1,499.0
101,Acer,1,1,3,1,1,619.0
102,Acer,3,4,2,7,1,2299.0
103,Apple,2,11,1,29,8,1165.0
104,Apple,2,5,1,12,7,2040.0
105,Apple,2,11,1,29,8,1279.0
106,Apple,2,5,1,12,7,1958.9
107,Apple,2,7,3,30,8,959.0
108,Apple,2,11,1,30,8,1300.0
109,Apple,2,11,1,30,8,1163.0
110,Apple,2,5,1,6,7,1339.69
111,Apple,2,5,1,4,7,1419.0
112,Apple,2,12,2,12,7,2858.0
113,Apple,2,5,1,30,8,998.0
114,Apple,2,5,1,4,7,1518.55
115,Apple,2,11,1,4,7,1262.4
116,Apple,2,12,2,4,7,2439.97
117,Apple,2,5,1,30,7,1158.7
118,Apple,2,12,2,30,8,2139.97
119,Apple,2,5,1,4,7,1803.6
120,Apple,2,5,1,31,8,1099.0
121,Apple,2,5,1,31,7,898.94
122,Apple,2,11,1,12,7,1510.0
123,Apple,2,12,2,12,7,2537.45
124,Asus,1,1,3,4,1,586.19
125,Asus,2,1,2,12,1,1983.0
126,Asus,3,4,8,7,1,1269.0
127,Asus,5,7,3,17,6,340.0
128,Asus,1,1,1,7,1,1224.0
129,Asus,1,2,1,4,1,941.0
130,Asus,5,7,4,10,1,245.0
131,Asus,3,1,8,12,1,2968.0
132,Asus,3,4,2,7,1,1504.0
133,Asus,1,1,1,7,1,1299.0
134,Asus,3,1,1,5,1,1649.0
135,Asus,1,2,3,10,1,298.0
136,Asus,2,1,2,7,1,1262.0
137,Asus,1,1,3,1,1,349.0
138,Asus,4,6,3,17,5,669.0
139,Asus,1,1,1,5,1,839.0
140,Asus,3,4,1,5,1,1770.0
141,Asus,3,1,1,5,1,1350.0
142,Asus,1,1,3,4,3,415.0
